Model,Epoch,Train Loss,Train Acc,Val Loss,Validation Acc,Epoch Time,Cumul Time
pvt_v2_b3.in1k,1,3.1480970250235663,0.5053789377201022,1.618688811858495,0.700437563110064,188.94200205802917,188.94200205802917
pvt_v2_b3.in1k,2,1.2483173814820654,0.7540161126923633,1.1749435563882191,0.7492426792325816,92.54652190208435,281.4885239601135
pvt_v2_b3.in1k,3,0.917777528733383,0.800810458777558,1.0458194365104039,0.7620329855267587,92.6109447479248,374.09946870803833
pvt_v2_b3.in1k,4,0.7571033820693875,0.8328428771286603,0.9802239437898,0.7717940087512623,92.5283203125,466.62778902053833
pvt_v2_b3.in1k,5,0.647915972235762,0.855757634232235,0.9456195533275604,0.7711208347357792,92.49529790878296,559.1230869293213
pvt_v2_b3.in1k (Best),4,0.7571033820693875,0.8328428771286603,0.9802239437898,0.7717940087512623,92.5283203125,466.62778902053833
vit_base_patch16_224.orig_in21k_ft_in1k,1,5.212618056638741,0.0602537507839259,4.906749248504639,0.09525412319084484,117.33415985107422,117.33415985107422
vit_base_patch16_224.orig_in21k_ft_in1k,2,4.832505285004039,0.10121086400694679,4.773904959360759,0.1137664086166274,117.14817428588867,234.4823341369629
vit_base_patch16_224.orig_in21k_ft_in1k,3,4.647187109346743,0.12060398475565633,4.668544212977092,0.12420060585661394,117.1932966709137,351.6756308078766
vit_base_patch16_224.orig_in21k_ft_in1k,4,4.505366131111428,0.13628250277389165,4.574156939983368,0.12992258498821946,117.15290904045105,468.82853984832764
vit_base_patch16_224.orig_in21k_ft_in1k,5,4.39748638647574,0.14993487384823195,4.523612916469574,0.1447324133288455,117.35930299758911,586.1878428459167
vit_base_patch16_224.orig_in21k_ft_in1k (Best),5,4.39748638647574,0.14993487384823195,4.523612916469574,0.1447324133288455,117.35930299758911,586.1878428459167
deit3_base_patch16_224.fb_in22k_ft_in1k,1,5.34953530040788,0.06440252785952048,4.983771761258443,0.08179064288118479,119.68335247039795,119.68335247039795
deit3_base_patch16_224.fb_in22k_ft_in1k,2,4.978579980355722,0.0952771479569685,4.940662225087483,0.09323460114439583,119.65154576301575,239.3348982334137
deit3_base_patch16_224.fb_in22k_ft_in1k,3,4.8254994580775135,0.10786820396545901,4.881451408068339,0.10636149444631438,119.54582524299622,358.8807234764099
deit3_base_patch16_224.fb_in22k_ft_in1k,4,4.729420202749747,0.12103815910077668,4.765965302785237,0.12218108381016493,119.54006743431091,478.4207909107208
deit3_base_patch16_224.fb_in22k_ft_in1k,5,4.636214791992565,0.12716484152636404,4.721580068270366,0.11612251767081791,119.58641743659973,598.0072083473206
deit3_base_patch16_224.fb_in22k_ft_in1k (Best),4,4.729420202749747,0.12103815910077668,4.765965302785237,0.12218108381016493,119.54006743431091,478.4207909107208
resnet50.a1_in1k,1,4.598724459424431,0.18278739929567273,3.7332371274630227,0.4490070683271626,45.748093605041504,45.748093605041504
resnet50.a1_in1k,2,3.06630923718582,0.6521781079646871,2.6827481190363565,0.7048131942107034,46.35836601257324,92.10645961761475
resnet50.a1_in1k,3,2.0945332182778253,0.8089632881470403,1.9937624633312225,0.7728037697744867,45.82748198509216,137.9339416027069
resnet50.a1_in1k,4,1.5065461176413077,0.8612089343431907,1.5883038739363353,0.8067990575563784,46.4332799911499,184.3672215938568
resnet50.a1_in1k,5,1.1461076707015803,0.8857639056394423,1.3384608527024586,0.8209357118815214,46.165956258773804,230.53317785263062
resnet50.a1_in1k (Best),5,1.1461076707015803,0.8857639056394423,1.3384608527024586,0.8209357118815214,46.165956258773804,230.53317785263062
resnet18.a1_in1k,1,4.6466603014204235,0.15736407930918037,3.7536786595980325,0.4076068663749579,44.90410232543945,44.90410232543945
resnet18.a1_in1k,2,3.1866402684906383,0.5561773360991847,2.701719800631205,0.6391787277011107,44.515748500823975,89.41985082626343
resnet18.a1_in1k,3,2.299876195413095,0.7045684789425443,2.0562489728132882,0.711881521373275,45.707425355911255,135.12727618217468
resnet18.a1_in1k,4,1.77825818091263,0.7611558685898983,1.6874205271402996,0.7411645910467856,44.47967052459717,179.60694670677185
resnet18.a1_in1k,5,1.464065161752112,0.7895219258044286,1.4812620381514232,0.7573207674183776,44.468242168426514,224.07518887519836
resnet18.a1_in1k (Best),5,1.464065161752112,0.7895219258044286,1.4812620381514232,0.7573207674183776,44.468242168426514,224.07518887519836
