Model,Epoch,Train Loss,Train Acc,Val Loss,Validation Acc,Epoch Time,Cumul Time
pvt_v2_b3.in1k,1,2.961644260506881,0.31465428512614074,2.330493664741516,0.4172523961661342,336.2957534790039,336.2957534790039
pvt_v2_b3.in1k,2,2.203848261582224,0.4422817410397749,2.096989402770996,0.4560702875399361,192.34492301940918,528.6406764984131
pvt_v2_b3.in1k,3,2.0151523993029232,0.4808673177649185,2.0095445489883423,0.47955271565495206,192.5376420021057,721.1783185005188
pvt_v2_b3.in1k,4,1.9041993541327136,0.504906109192379,1.93522873878479,0.4947284345047923,192.65873622894287,913.8370547294617
pvt_v2_b3.in1k,5,1.829408782267431,0.5223576770888132,1.8805854797363282,0.5059105431309904,192.47826433181763,1106.3153190612793
pvt_v2_b3.in1k (Best),5,1.829408782267431,0.5223576770888132,1.8805854797363282,0.5059105431309904,192.47826433181763,1106.3153190612793
vit_base_patch16_224.orig_in21k_ft_in1k,1,4.082295546057629,0.08538231056014273,3.83844895362854,0.12492012779552715,244.49982380867004,244.49982380867004
vit_base_patch16_224.orig_in21k_ft_in1k,2,3.7640650091115493,0.1378513757690812,3.6616691875457765,0.14984025559105432,244.9842448234558,489.48406863212585
vit_base_patch16_224.orig_in21k_ft_in1k,3,3.6261516997688696,0.16150133802977973,3.5721476173400877,0.17156549520766773,245.01553916931152,734.4996078014374
vit_base_patch16_224.orig_in21k_ft_in1k,4,3.5361941711247318,0.1767571647492052,3.495062885284424,0.17907348242811502,244.92399740219116,979.4236052036285
vit_base_patch16_224.orig_in21k_ft_in1k,5,3.4648838656687597,0.19070927014478167,3.4539036083221437,0.1876996805111821,244.95776987075806,1224.3813750743866
vit_base_patch16_224.orig_in21k_ft_in1k (Best),5,3.4648838656687597,0.19070927014478167,3.4539036083221437,0.1876996805111821,244.95776987075806,1224.3813750743866
deit3_base_patch16_224.fb_in22k_ft_in1k,1,4.171356915033352,0.0749754122732783,3.960220718383789,0.10111821086261981,249.11829614639282,249.11829614639282
deit3_base_patch16_224.fb_in22k_ft_in1k,2,3.8487947851593733,0.11726630223462409,3.7794267654418947,0.12571884984025558,249.80212712287903,498.92042326927185
deit3_base_patch16_224.fb_in22k_ft_in1k,3,3.735833669963636,0.1359758468470529,3.6988699531555174,0.1388178913738019,249.84093618392944,748.7613594532013
deit3_base_patch16_224.fb_in22k_ft_in1k,4,3.6585804189157765,0.1480524233206011,3.6186859130859377,0.16693290734824281,249.79502153396606,998.5563809871674
deit3_base_patch16_224.fb_in22k_ft_in1k,5,3.603403649134943,0.15626358043045677,3.594049472808838,0.14952076677316295,249.8400273323059,1248.3964083194733
deit3_base_patch16_224.fb_in22k_ft_in1k (Best),4,3.6585804189157765,0.1480524233206011,3.6186859130859377,0.16693290734824281,249.79502153396606,998.5563809871674
resnet50.a1_in1k,1,3.7748002601645845,0.29612771894512935,3.1412429714202883,0.40926517571884985,94.42952489852905,94.42952489852905
resnet50.a1_in1k,2,2.756967700712862,0.4619290501132179,2.5318292999267578,0.4638977635782748,93.77760553359985,188.2071304321289
resnet50.a1_in1k,3,2.2911500038459285,0.511195992772352,2.2481355714797973,0.492332268370607,93.19801211357117,281.4051425457001
resnet50.a1_in1k,4,2.034205937246133,0.5397406280734658,2.0687624740600588,0.5065495207667732,93.90055131912231,375.3056938648224
resnet50.a1_in1k,5,1.8700266086567214,0.5603257016079229,1.9583716535568236,0.518849840255591,93.65747117996216,468.96316504478455
resnet50.a1_in1k (Best),5,1.8700266086567214,0.5603257016079229,1.9583716535568236,0.518849840255591,93.65747117996216,468.96316504478455
resnet18.a1_in1k,1,4.071136131621244,0.20811509343336154,3.583100757598877,0.32971246006389776,91.57523584365845,91.57523584365845
resnet18.a1_in1k,2,3.2864084926962156,0.37711854715125454,3.0194827270507814,0.38945686900958465,92.12085366249084,183.6960895061493
resnet18.a1_in1k,3,2.840538933960318,0.4182658219162416,2.7230058097839356,0.41405750798722046,91.48583459854126,275.18192410469055
resnet18.a1_in1k,4,2.565558874119095,0.44342535623613366,2.5136989402770995,0.4319488817891374,91.35282278060913,366.5347468852997
resnet18.a1_in1k,5,2.3810302067918387,0.4613114979071842,2.3534771728515627,0.44712460063897763,91.72849655151367,458.26324343681335
resnet18.a1_in1k (Best),5,2.3810302067918387,0.4613114979071842,2.3534771728515627,0.44712460063897763,91.72849655151367,458.26324343681335
resnet152.a1_in1k,1,3.7979250553755732,0.3020287733583404,3.1823947429656982,0.4241214057507987,185.833646774292,185.833646774292
resnet152.a1_in1k,2,2.7746907172844426,0.48306305894192725,2.5486601829528808,0.4680511182108626,185.795348405838,371.62899518013
resnet152.a1_in1k,3,2.285224441199275,0.529150751355184,2.257270975112915,0.49776357827476037,185.8350853919983,557.4640805721283
resnet152.a1_in1k,4,2.011878506481996,0.5569863452345555,2.0647033643722534,0.515335463258786,185.8197820186615,743.2838625907898
resnet152.a1_in1k,5,1.8360421148657102,0.5772512065140322,1.9457848930358888,0.5258785942492012,185.8035523891449,929.0874149799347
resnet152.a1_in1k (Best),5,1.8360421148657102,0.5772512065140322,1.9457848930358888,0.5258785942492012,185.8035523891449,929.0874149799347
swin_base_patch4_window7_224.ms_in22k_ft_in1k,1,3.9219098049297667,0.12314448434390796,3.4668020820617675,0.19792332268370608,349.48977637290955,349.48977637290955
swin_base_patch4_window7_224.ms_in22k_ft_in1k,2,3.52864710768761,0.18622629857505546,3.2784879493713377,0.2258785942492013,350.00984597206116,699.4996223449707
swin_base_patch4_window7_224.ms_in22k_ft_in1k,3,3.396325246632448,0.21024221769858878,3.20115195274353,0.24664536741214058,349.7079532146454,1049.207575559616
swin_base_patch4_window7_224.ms_in22k_ft_in1k,4,3.3169213582200614,0.22501772603554357,3.1392533206939697,0.26118210862619806,349.92786145210266,1399.1354370117188
swin_base_patch4_window7_224.ms_in22k_ft_in1k,5,3.2617875874391076,0.2368427071658928,3.0965456771850586,0.26853035143769965,349.8283791542053,1748.963816165924
swin_base_patch4_window7_224.ms_in22k_ft_in1k (Best),5,3.2617875874391076,0.2368427071658928,3.0965456771850586,0.26853035143769965,349.8283791542053,1748.963816165924
mixer_b16_224.goog_in21k_ft_in1k,1,4.320248107463993,0.04839779510990142,4.167242403030396,0.07044728434504792,199.50586652755737,199.50586652755737
mixer_b16_224.goog_in21k_ft_in1k,2,4.150607567781593,0.07202488506667276,4.111213102340698,0.07268370607028754,201.18199920654297,400.68786573410034
mixer_b16_224.goog_in21k_ft_in1k,3,4.1009622470677245,0.08039614830401866,4.092222471237182,0.07380191693290734,201.17894530296326,601.8668110370636
mixer_b16_224.goog_in21k_ft_in1k,4,4.068602938401072,0.08426156766771117,4.064949645996093,0.08817891373801917,201.14998173713684,803.0167927742004
mixer_b16_224.goog_in21k_ft_in1k,5,4.047088229865358,0.08879028384529174,4.045257339477539,0.08961661341853035,201.08074188232422,1004.0975346565247
mixer_b16_224.goog_in21k_ft_in1k (Best),5,4.047088229865358,0.08879028384529174,4.045257339477539,0.08961661341853035,201.08074188232422,1004.0975346565247
tf_efficientnetv2_m.in21k_ft_in1k,1,2.417232100029438,0.462592346927106,1.6176464414596559,0.5942492012779552,437.70588088035583,437.70588088035583
tf_efficientnetv2_m.in21k_ft_in1k,2,1.3804766086109899,0.645090459962032,1.3755745720863342,0.6332268370607029,437.7549476623535,875.4608285427094
tf_efficientnetv2_m.in21k_ft_in1k,3,1.154895281582548,0.6932824043365888,1.3407766366004943,0.6399361022364217,437.7437686920166,1313.204597234726
tf_efficientnetv2_m.in21k_ft_in1k,4,1.0336799346215544,0.7225132087555179,1.291725776195526,0.6442492012779553,437.73191499710083,1750.9365122318268
tf_efficientnetv2_m.in21k_ft_in1k,5,0.9434128909083138,0.7455913634180371,1.272920069694519,0.6477635782747604,437.7071969509125,2188.6437091827393
tf_efficientnetv2_m.in21k_ft_in1k (Best),5,0.9434128909083138,0.7455913634180371,1.272920069694519,0.6477635782747604,437.7071969509125,2188.6437091827393
convnext_base.fb_in22k_ft_in1k,1,2.4787061800036514,0.40198074152009333,2.046480112075806,0.4806709265175719,276.0809133052826,276.0809133052826
convnext_base.fb_in22k_ft_in1k,2,1.895362076703568,0.514878433704627,1.9278589296340942,0.5022364217252396,276.68737530708313,552.7682886123657
convnext_base.fb_in22k_ft_in1k,3,1.7330313293557418,0.5523203952334118,1.9188104677200317,0.5100638977635783,276.73311138153076,829.5013999938965
convnext_base.fb_in22k_ft_in1k,4,1.62603801802585,0.5786006724457354,1.8784281778335572,0.513738019169329,276.7228946685791,1106.2242946624756
convnext_base.fb_in22k_ft_in1k,5,1.5434197800898413,0.6013814871572013,1.8714642667770385,0.5170926517571885,276.65386986732483,1382.8781645298004
convnext_base.fb_in22k_ft_in1k (Best),5,1.5434197800898413,0.6013814871572013,1.8714642667770385,0.5170926517571885,276.65386986732483,1382.8781645298004
regnety_040.pycls_in1k,1,2.8434399387292695,0.38898927288945817,1.929427194595337,0.5458466453674121,104.10935711860657,104.10935711860657
regnety_040.pycls_in1k,2,1.7027980214671086,0.5793097138674779,1.5803097558021546,0.5945686900958467,103.66452264785767,207.77387976646423
regnety_040.pycls_in1k,3,1.448199240784896,0.6239564511333227,1.490046238899231,0.6063897763578274,103.63771033287048,311.4115900993347
regnety_040.pycls_in1k,4,1.3176438278622098,0.6506255575124082,1.4106627750396727,0.6217252396166134,103.63825821876526,415.0498483181
regnety_040.pycls_in1k,5,1.2309027275843927,0.667894146977425,1.3654246950149536,0.6263578274760383,103.64452695846558,518.6943752765656
regnety_040.pycls_in1k (Best),5,1.2309027275843927,0.667894146977425,1.3654246950149536,0.6263578274760383,103.64452695846558,518.6943752765656
